id	name	category	bag_index	max_qty	editable
it_potion	Potion	Consumables	0	99	1
it_phenxtal	Phoenix Down	Consumables	0	99	1
it_hpotion	Wound Potion	Consumables	0	99	1
it_universal	Remedy	Consumables	0	99	1
it_libra	Librascope	Consumables	0	99	1
it_antidote	Antidote	Consumables	0	99	1
it_holywater	Holy Water	Consumables	0	99	1
it_wax	Wax	Consumables	0	99	1
it_sedative	Painkiller	Consumables	0	99	1
it_tonkati	Mallet	Consumables	0	99	1
it_unico	Unicorn Horn	Consumables	0	99	1
it_phenxbl	Phoenix Blood	Consumables	0	99	1
it_elixir	Elixir	Consumables	0	99	1
wea_ser_001	Starseeker	Weapons	1	1	0
wea_ser_002	Meteorblaze	Weapons	1	99	0
wea_ser_003	Lunar Stinger	Weapons	1	99	0
wea_ser_004	Raging Arc	Weapons	1	99	0
wea_ser_005	Izanami	Weapons	1	99	0
wea_ser_006	Amazon Bow	Weapons	1	99	0
wea_ser_007	Fellowship Arc	Weapons	1	99	0
wea_ser_008	Trollspike	Weapons	1	99	0
wea_ser_009	Fatal Barb	Weapons	1	99	0
wea_ser_010	Gandiva	Weapons	1	99	0
wea_ser_011	Faerie's Bow	Weapons	1	99	0
wea_ser_012	Rune Feather	Weapons	1	99	0
wea_ser_013	Angel's Bow	Weapons	1	99	0
wea_ser_014	Eurytos's Bow	Weapons	1	99	0
wea_ser_015	Indrajit	Weapons	1	99	0
wea_ser_016	Butterfly Bow	Weapons	1	99	0
wea_ser_017	Wild Chorus	Weapons	1	99	0
wea_ser_018	Chrysalis Arc	Weapons	1	99	0
wea_ser_019	Nagaraja	Weapons	1	99	0
wea_ser_020	Sagittarius	Weapons	1	99	0
wea_ser_021	Arcus Chronica	Weapons	1	99	0
wea_ser_022	Odinbolt	Weapons	1	1	0
wea_ser_023	Seraphic Wing	Weapons	1	99	0
wea_ser_026	Unused / unnamed Serah weapon 026	Weapons	1	99	0
wea_ser_027	Unused / unnamed Serah weapon 027	Weapons	1	99	0
wea_ser_028	Unused / unnamed Serah weapon 028	Weapons	1	99	0
wea_ser_024	Serah DLC weapon 2	Weapons	1	99	0
wea_ser_029	Unused / unnamed Serah weapon 029	Weapons	1	99	0
wea_ser_030	Unused / unnamed Serah weapon 030	Weapons	1	99	0
wea_ser_031	Unused / unnamed Serah weapon 031	Weapons	1	99	0
wea_ser_025	Serah DLC weapon 3	Weapons	1	99	0
wea_ser_032	Unused / unnamed Serah weapon 032	Weapons	1	99	0
wea_ser_033	Unused / unnamed Serah weapon 033	Weapons	1	99	0
