acc_000_000	Iron Bangle
acc_000_001	Silver Bangle
acc_000_004	Gold Bangle
acc_000_010	Delicate Iron Bangle
acc_000_011	Durable Iron Bangle
acc_000_012	Delicate Silver Bangle
acc_000_013	Durable Silver Bangle
acc_000_014	Delicate Gold Bangle
acc_000_015	Durable Gold Bangle
acc_000_100	Power Wristband
acc_000_101	Brawler's Wristband
acc_000_104	Kaiser Knuckles
acc_000_105	Delicate Power Wristband
acc_000_106	Durable Power Wristband
acc_000_107	Delicate Brawler's Wristband
acc_000_108	Durable Brawler's Wristband
acc_000_109	Durable Kaiser Knuckles
acc_000_200	Magician's Mark
acc_000_201	Shaman's Mark
acc_000_204	Magistral Crest
acc_000_205	Delicate Magician's Mark
acc_000_206	Durable Magician's Mark
acc_000_207	Delicate Shaman's Mark
acc_000_208	Durable Shaman's Mark
acc_000_209	Durable Magistral Crest
acc_000_300	Black Belt
acc_000_301	General's Belt
acc_000_303	Delicate Black Belt
acc_000_304	Durable Black Belt
acc_000_305	Delicate General's Belt
acc_000_306	Durable General's Belt
acc_000_400	Rune Bracelet
acc_000_401	Witch's Bracelet
acc_000_403	Delicate Rune Bracelet
acc_000_404	Durable Rune Bracelet
acc_000_405	Delicate Witch's Bracelet
acc_000_406	Durable Witch's Bracelet
acc_000_500	Royal Armlet
acc_000_502	Delicate Royal Armlet
acc_000_503	Durable Royal Armlet
acc_001_000	Ember Ring
acc_001_001	Blaze Ring
acc_001_003	Delicate Ember Ring
acc_001_004	Durable Ember Ring
acc_001_005	Delicate Blaze Ring
acc_001_006	Durable Blaze Ring
acc_002_000	Frost Ring
acc_002_001	Icicle Ring
acc_002_003	Delicate Frost Ring
acc_002_004	Durable Frost Ring
acc_002_005	Delicate Icicle Ring
acc_002_006	Durable Icicle Ring
acc_003_000	Spark Ring
acc_003_001	Fulmen Ring
acc_003_003	Delicate Spark Ring
acc_003_004	Durable Spark Ring
acc_003_005	Delicate Fulmen Ring
acc_003_006	Durable Fulmen Ring
acc_005_000	Zephyr Ring
acc_005_001	Gale Ring
acc_005_003	Delicate Zephyr Ring
acc_005_004	Durable Zephyr Ring
acc_005_005	Delicate Gale Ring
acc_005_006	Durable Gale Ring
acc_007_000	Entite Ring
acc_007_001	Delicate Entite Ring
acc_007_002	Durable Entite Ring
acc_011_000	Metal Armband
acc_011_002	Delicate Metal Armband
acc_011_003	Durable Metal Armband
acc_012_000	Serenity Sachet
acc_012_002	Delicate Serenity Sachet
acc_012_003	Durable Serenity Sachet
acc_014_000	Star Pendant
acc_014_002	Delicate Star Pendant
acc_014_003	Durable Star Pendant
acc_015_000	Pearl Necklace
acc_015_002	Delicate Pearl Necklace
acc_015_003	Durable Pearl Necklace
acc_016_000	Warding Talisman
acc_016_002	Delicate Warding Talisman
acc_016_003	Durable Warding Talisman
acc_017_000	Pain Dampener
acc_017_002	Delicate Pain Dampener
acc_017_003	Durable Pain Dampener
acc_018_000	White Cape
acc_018_002	Delicate White Cape
acc_018_003	Durable White Cape
acc_021_000	Obsidian Choker
acc_021_002	Delicate Obsidian Choker
acc_021_003	Durable Obsidian Choker
acc_023_000	Ribbon
acc_023_003	Delicate Ribbon
acc_025_000	Guardian Amulet
acc_025_002	Delicate Guardian Amulet
acc_025_003	Durable Guardian Amulet
acc_026_000	Auric Amulet
acc_026_002	Delicate Auric Amulet
acc_026_003	Durable Auric Amulet
acc_027_000	Watchman's Amulet
acc_027_002	Delicate Watchman's Amulet
acc_027_003	Durable Watchman's Amulet
acc_028_000	Hero's Amulet
acc_028_002	Delicate Hero's Amulet
acc_028_003	Durable Hero's Amulet
acc_029_000	Saint's Amulet
acc_029_002	Delicate Saint's Amulet
acc_029_003	Durable Saint's Amulet
acc_030_000	Hermes Sandals
acc_030_002	Delicate Hermes Sandals
acc_030_003	Durable Hermes Sandals
acc_035_000	Zealot's Amulet
acc_035_002	Delicate Zealot's Amulet
acc_035_003	Durable Zealot's Amulet
acc_039_000	Collector Catalog
acc_039_002	Delicate Collector Catalog
acc_039_003	Durable Collector Catalog
acc_055_000	Sniper's Eye
acc_055_001	Delicate Sniper's Eye
acc_055_002	Durable Sniper's Eye
acc_056_000	Twist Headband
acc_056_001	Delicate Twist Headband
acc_056_002	Durable Twist Headband
acc_057_000	Bloodguard
acc_057_001	Delicate Bloodguard
acc_057_002	Durable Bloodguard
acc_058_000	Hypnocrown
acc_058_001	Delicate Hypnocrown
acc_058_002	Durable Hypnocrown
acc_059_000	Grimoire Hat
acc_059_001	Durable Grimoire Hat
acc_060_000	Fire Aegis
acc_060_001	Delicate Fire Aegis
acc_061_000	Ice Aegis
acc_061_001	Delicate Ice Aegis
acc_062_000	Lightning Aegis
acc_062_001	Delicate Lightning Aegis
acc_063_000	Wind Aegis
acc_063_001	Delicate Wind Aegis
acc_064_000	Martyr's Badge
acc_065_000	Martyr's Emblem
acc_066_000	Berserker's Ruby
acc_067_000	Blaster's Sapphire
acc_068_000	Defender's Topaz
acc_069_000	Impeder's Opal
acc_070_000	Supporter's Amethyst
acc_071_000	Healer's Emerald
acc_075_000	Stiltzkin's Diary
acc_075_001	Durable Stiltzkin's Diary
acc_076_000	Diva's Microphone
acc_076_001	Delicate Diva's Microphone
acc_077_000	Diva's Headphones
acc_077_001	Delicate Diva's Headphones
acc_078_000	Goddess's Bangle
acc_078_001	Delicate Goddess's Bangle
acc_079_000	Goddess's Earring
acc_079_001	Delicate Goddess's Earring
acc_080_000	Genji Glove
acc_081_000	Genji Shield
cc_gysahl	Gysahl Greens
cs_chip_00	Casino Ticket
cs_chip_01	Gold Casino Ticket
cs_chip_02	Platinum Casino Ticket
cs_cond_00	Chocoboost
cs_cond_01	Chocobull
cs_race_00	Shuffle
cs_race_01	Shuffle (Common)
cs_race_02	Shuffle (Graded)
e003	Lucky Clover
e004	Tropical Tree
e010	Single Horn
e011	Antler
e013	Shooting Star
e014	Cute Heart
e015	Halo
e016	Zwerg Ring
e019	Light Bulb
e023	Cie'th Wing
e024	Moogle Wing
e026	Coronet
e027	Crown
e030	Train Conductor Cap
e031	Train Conductor Beret
e032	Wizard's Hat
e033	Academic's Hat
e034	Chef's Hat
e037	Bunny Ears
e038	Onion Knight's Helm
e039	Gold Anchor
e041	Tonberry's Lantern
e042	Summoner's Mask
e043	Ripe Apple
e044	Pumpkin Head
e046	Crystal Rose
e047	Crystal Tear
e048	Crystal Heart
e049	Crystal Feather
e050	Crystal Petal
e051	Crystal Apple
e052	Crystal Star
e053	Musical Bell
e060	Mark of the l'Cie
e061	Mark of Lindzei
e062	Mark of Etro
e065	Rangda Crest
e066	Leyak Crest
e067	Behemoth Crest
e068	Canned Sheep Logo
e069	Canned Coyo Logo
e070	Dajh's Patch
e072	Unicorn Mart Logo
e073	Stormy Motors Logo
e074	Flower Pattern
e078	Frying Pan
e079	Grudge Knife
e080	Staff of Judgment
e081	Mog's Clock
e083	Fragment Crystal
e090	Cactuar Figurine
e091	Cute Cactuar Figurine
e092	Carbuncle Figurine
e093	Mog Figurine
e094	Mini Flan Figurine
e096	Tonberry Figurine
e097	Woolly Sheep Figurine
e098	Afro
e103	Bandaid
e107	Caius's Sword
e108	Serah Mask
e109	Lightning Mask
e110	Mog Mask
e111	Retro Serah Mask
e112	Retro Lightning Mask
e113	Retro Mog Mask
e200	Blue Flower
e201	Pink Flower
e202	White Flower
e203	Purple Flower
e204	White Tree
e205	Suspicious Mushroom
e206	Toxic Mushroom
e207	Blue Butterfly
e208	Yellow Butterfly
e209	Gold Windup Key
e210	Aqua Ribbon
e211	Pink Ribbon
e212	Gold Gear
e213	Red Chocobo Figurine
e214	Blue Chocobo Figurine
e215	Purple Chocobo Figurine
e216	White Chocobo Figurine
e217	Black Chocobo Figurine
e218	Silver Chocobo Figurine
e219	Gold Chocobo Figurine
e220	Youthful Parasol
e221	Sentimental Parasol
e222	Blue Propeller
e223	Red Propeller
e224	Blue Moogle Bobble
e226	Aqua Fairy Wings
e227	Snowy Fairy Wings
e228	Orange Newsboy Cap
e229	Pink Newsboy Cap
e230	Red Silk Hat
e231	Sky Blue Silk Hat
e232	Blue Mage's Chapeau
e233	Pink Party Hat
e234	Blue Party Hat
e235	Tranquil Headdress
e236	Whimsical Headdress
e237	Strawberry Ice Cream
e238	Rum Raisin Ice Cream
e239	Yellow Bow Tie
e240	Orange Bow Tie
e241	Yellow-Rimmed Glasses
e242	Pink-Rimmed Glasses
e243	Gold Shades
e244	Violet Shades
e245	Masquerade Mask
e246	Carnival Mask
e247	White Bushy Mustache
e248	Brown Bushy Mustache
e251	Lebreau's Black Tattoo
e252	Lebreau's Olive Tattoo
e253	Gadot's Black Emblem
e254	Gadot's Blue Emblem
e255	Black Tattoo
e256	Pink Tattoo
e257	Sky Blue NORA Symbol
e258	Green NORA Symbol
e259	Blue Feather Hairpin
e260	Dusk Feather Hairpin
e261	Long Gui Backpack
e262	Sahagin Hide Backpack
e263	Blue Beacon
e264	Red Beacon
e265	Guard's Ravager Badge
e266	Red Commando Badge
e267	Guard's Medic Badge
e268	Blue Pilot's Badge
e269	Orange Pilot's Badge
e270	Green Pilot's Badge
e271	Blue PSICOM Spaulders
e272	Red PSICOM Spaulders
e273	Green PSICOM Spaulders
e274	Silver Medal
e275	Bronze Medal
e278	Red Chocobo Chick
e279	Blue Chocobo Chick
e280	Purple Chocobo Chick
e281	White Chocobo Chick
e282	Black Chocobo Chick
e283	Silver Chocobo Chick
e284	Gold Chocobo Chick
e285	Afro & Red Chick
e286	Afro & Blue Chick
e287	Afro & Purple Chick
e288	Afro & White Chick
e289	Afro & Black Chick
e290	Afro & Silver Chick
e291	Afro & Gold Chick
e292	Silver Padlock
e293	Long Gui's Shell
e294	White Guitar
e295	Blue Guitar
e296	Lower Rank Insignia
e297	PSICOM Lapel Pin
e298	Gold Brooch
e301	Golden Flower
e302	Crimson Flower
e303	Festive Tree
e304	Delicious Mushroom
e305	Orange Butterfly
e306	Silver Windup Key
e307	Yellow Ribbon
e308	Silver Gear
e309	Chocobo Figurine
e310	Summery Parasol
e311	Yellow Propeller
e312	Pink Moogle Bobble
e313	Fairy Wings
e314	Sky Blue Newsboy Cap
e315	Silk Hat
e316	Red Mage's Chapeau
e317	Party Hat
e318	Headdress of Courage
e319	Mint Chip Ice Cream
e320	Red Bow Tie
e321	Black-Rimmed Glasses
e322	Vacationer's Shades
e323	Queen's Mask
e324	Bushy Mustache
e326	Lebreau's Violet Tattoo
e327	Gadot's Red Emblem
e328	Tattoo
e329	NORA Symbol
e330	Chocobo Feather Pin
e331	Dragon Hide Backpack
e332	Orange Beacon
e333	Guardian Corps Badge
e334	Pilot's Badge
e335	Silver PSICOM Spaulders
e336	Gold Medal
e338	Chocobo Chick
e339	Yellow Chick in Afro
e340	Gold Padlock
e341	Adamantoise Shell
e342	Electric Guitar
