id	name	family	category	value
auto_amdef_s1	Resist Physical/Magic 5%	physmag	Physical / Magic Resistance	5
auto_amdef_s2	Resist Physical/Magic 10%	physmag	Physical / Magic Resistance	10
auto_amdef_s3	Resist Physical/Magic 15%	physmag	Physical / Magic Resistance	15
auto_amdef_s4	Resist Physical/Magic 20%	physmag	Physical / Magic Resistance	20
auto_defp_1	Resist Physical 5%	physical	Physical / Magic Resistance	5
auto_defp_2	Resist Physical 11%	physical	Physical / Magic Resistance	11
auto_defp_3	Resist Physical 15%	physical	Physical / Magic Resistance	15
auto_defp_4	Resist Physical 19%	physical	Physical / Magic Resistance	19
auto_defp_5	Resist Physical 21%	physical	Physical / Magic Resistance	21
auto_defp_6	Resist Physical 26%	physical	Physical / Magic Resistance	26
auto_defp_7	Resist Physical 36%	physical	Physical / Magic Resistance	36
auto_defp_8	Resist Physical 75%	physical	Physical / Magic Resistance	75
auto_mdefp_1	Resist Magic 5%	magic	Physical / Magic Resistance	5
auto_mdefp_2	Resist Magic 11%	magic	Physical / Magic Resistance	11
auto_mdefp_3	Resist Magic 15%	magic	Physical / Magic Resistance	15
auto_mdefp_4	Resist Magic 19%	magic	Physical / Magic Resistance	19
auto_mdefp_5	Resist Magic 21%	magic	Physical / Magic Resistance	21
auto_mdefp_6	Resist Magic 26%	magic	Physical / Magic Resistance	26
auto_mdefp_7	Resist Magic 36%	magic	Physical / Magic Resistance	36
auto_mdefp_8	Resist Magic 75%	magic	Physical / Magic Resistance	75
auto_fdefp_1	Resist Fire 10%	fire	Elemental Resistance	10
auto_fdefp_2	Resist Fire 29%	fire	Elemental Resistance	29
auto_fdefp_3	Resist Fire 33%	fire	Elemental Resistance	33
auto_fdefp_4	Resist Fire 39%	fire	Elemental Resistance	39
auto_fdefp_5	Resist Fire 40%	fire	Elemental Resistance	40
auto_fdefp_6	Resist Fire 45%	fire	Elemental Resistance	45
auto_fdefp_7	Resist Fire 53%	fire	Elemental Resistance	53
auto_idefp_1	Resist Ice 10%	ice	Elemental Resistance	10
auto_idefp_2	Resist Ice 29%	ice	Elemental Resistance	29
auto_idefp_3	Resist Ice 33%	ice	Elemental Resistance	33
auto_idefp_4	Resist Ice 39%	ice	Elemental Resistance	39
auto_idefp_5	Resist Ice 40%	ice	Elemental Resistance	40
auto_idefp_6	Resist Ice 45%	ice	Elemental Resistance	45
auto_idefp_7	Resist Ice 53%	ice	Elemental Resistance	53
auto_adefp_1	Resist Wind 10%	wind	Elemental Resistance	10
auto_adefp_2	Resist Wind 29%	wind	Elemental Resistance	29
auto_adefp_3	Resist Wind 33%	wind	Elemental Resistance	33
auto_adefp_4	Resist Wind 39%	wind	Elemental Resistance	39
auto_adefp_5	Resist Wind 40%	wind	Elemental Resistance	40
auto_adefp_6	Resist Wind 45%	wind	Elemental Resistance	45
